"Date","Price","Open","High","Low","Vol.","Change %"
"09/04/2001","1,132.90","1,133.60","1,155.40","1,129.10","","-0.06%"
"08/31/2001","1,133.60","1,129.00","1,141.80","1,126.40","","0.41%"
"08/30/2001","1,129.00","1,148.60","1,151.80","1,124.90","","-1.71%"
"08/29/2001","1,148.60","1,161.50","1,167.00","1,147.40","","-1.11%"
"08/28/2001","1,161.50","1,179.20","1,179.70","1,161.20","","-1.50%"
"08/27/2001","1,179.20","1,184.90","1,186.80","1,178.10","","-0.48%"
"08/24/2001","1,184.90","1,162.10","1,185.20","1,162.10","","1.96%"
"08/23/2001","1,162.10","1,165.30","1,169.90","1,161.00","","-0.27%"
"08/22/2001","1,165.30","1,157.30","1,168.60","1,153.30","","0.69%"
"08/21/2001","1,157.30","1,171.40","1,179.80","1,156.60","","-1.20%"
"08/20/2001","1,171.40","1,162.00","1,171.40","1,160.90","","0.81%"
"08/17/2001","1,162.00","1,181.70","1,181.70","1,156.10","","-1.67%"
"08/16/2001","1,181.70","1,178.00","1,181.80","1,166.10","","0.31%"
"08/15/2001","1,178.00","1,186.70","1,191.20","1,177.60","","-0.73%"
"08/14/2001","1,186.70","1,191.30","1,198.80","1,184.30","","-0.39%"
"08/13/2001","1,191.30","1,190.20","1,193.80","1,185.10","","0.09%"
"08/10/2001","1,190.20","1,183.40","1,193.30","1,169.50","","0.57%"
"08/09/2001","1,183.40","1,183.50","1,184.70","1,174.70","","-0.01%"
"08/08/2001","1,183.50","1,204.40","1,206.80","1,181.30","","-1.74%"
"08/07/2001","1,204.40","1,200.50","1,207.60","1,195.60","","0.32%"
"08/06/2001","1,200.50","1,214.30","1,214.30","1,197.30","","-1.14%"
"08/03/2001","1,214.30","1,220.80","1,220.80","1,205.30","","-0.53%"
"08/02/2001","1,220.80","1,215.90","1,226.30","1,215.30","","0.40%"
"08/01/2001","1,215.90","1,211.20","1,223.00","1,211.20","","0.39%"
"07/31/2001","1,211.20","1,204.50","1,222.70","1,204.50","","0.56%"
"07/30/2001","1,204.50","1,205.80","1,209.00","1,200.40","","-0.11%"
"07/27/2001","1,205.80","1,202.90","1,209.30","1,196.00","","0.24%"
"07/26/2001","1,202.90","1,190.50","1,204.20","1,182.70","","1.04%"
"07/25/2001","1,190.50","1,171.70","1,190.50","1,171.30","","1.60%"
"07/24/2001","1,171.70","1,191.00","1,191.00","1,165.50","","-1.62%"
