"Date","Price","Open","High","Low","Vol.","Change %"
"02/08/2008","1,331.30","1,336.90","1,341.20","1,321.10","","-0.42%"
"02/07/2008","1,336.90","1,324.00","1,347.20","1,316.80","","0.78%"
"02/06/2008","1,326.50","1,339.50","1,352.00","1,324.30","","-0.76%"
"02/05/2008","1,336.60","1,380.30","1,380.30","1,336.60","","-3.20%"
"02/04/2008","1,380.80","1,395.40","1,395.40","1,379.70","","-1.05%"
"02/01/2008","1,395.40","1,378.60","1,396.00","1,375.90","","1.23%"
"01/31/2008","1,378.50","1,352.00","1,385.60","1,334.10","","1.67%"
"01/30/2008","1,355.80","1,362.20","1,385.90","1,353.00","","-0.48%"
"01/29/2008","1,362.30","1,355.90","1,364.90","1,350.20","","0.61%"
"01/28/2008","1,354.00","1,330.70","1,354.00","1,322.30","","1.76%"
"01/25/2008","1,330.60","1,357.30","1,368.60","1,327.50","","-1.59%"
"01/24/2008","1,352.10","1,340.10","1,355.20","1,334.30","","1.01%"
"01/23/2008","1,338.60","1,310.40","1,339.10","1,270.00","","2.14%"
"01/22/2008","1,310.50","1,312.90","1,322.10","1,274.30","","-1.11%"
"01/18/2008","1,325.20","1,333.90","1,350.30","1,312.50","","-0.60%"
"01/17/2008","1,333.20","1,374.80","1,377.70","1,330.70","","-2.91%"
"01/16/2008","1,373.20","1,377.40","1,392.00","1,364.30","","-0.56%"
"01/15/2008","1,381.00","1,411.90","1,411.90","1,380.60","","-2.49%"
"01/14/2008","1,416.20","1,402.90","1,417.90","1,402.90","","1.08%"
"01/11/2008","1,401.00","1,419.90","1,419.90","1,394.80","","-1.36%"
"01/10/2008","1,420.30","1,406.80","1,429.10","1,395.30","","0.79%"
"01/09/2008","1,409.10","1,390.20","1,409.20","1,378.70","","1.36%"
"01/08/2008","1,390.20","1,415.70","1,430.30","1,388.30","","-1.84%"
"01/07/2008","1,416.20","1,414.10","1,423.90","1,403.50","","0.33%"
"01/04/2008","1,411.60","1,444.00","1,444.00","1,411.20","","-2.46%"
"01/03/2008","1,447.20","1,447.50","1,456.80","1,443.70","","0.00%"
"01/02/2008","1,447.20","1,468.00","1,471.80","1,442.10","","-1.44%"
